file; time; heur; depth
j3010_5.sm;53;9;4
j3010_5.sm;53;10;4
j3010_5.sm;53;12;1
j3010_5.sm;55;2;4
j3010_5.sm;55;9;0
j3010_5.sm;55;9;1
j3010_5.sm;55;9;2
j3010_5.sm;55;10;0
j3010_5.sm;55;10;1
j3010_5.sm;55;10;2
j3010_5.sm;55;16;0
j3010_5.sm;55;16;1
j3010_5.sm;55;16;2
j3010_5.sm;55;16;3
j3010_5.sm;55;16;4
j3010_5.sm;55;21;1
j3010_5.sm;56;3;1
j3010_5.sm;57;0;0
j3010_5.sm;57;0;1
j3010_5.sm;57;0;2
j3010_5.sm;57;3;2
j3010_5.sm;59;2;1
j3010_5.sm;59;2;2
j3010_5.sm;59;2;3
j3010_5.sm;59;11;0
j3010_5.sm;59;12;4
j3010_5.sm;59;15;0
j3010_5.sm;59;21;4
j3010_5.sm;60;12;0
j3010_5.sm;61;3;0
j3010_5.sm;61;12;2
j3010_5.sm;61;12;3
j3010_5.sm;61;21;2
j3010_5.sm;61;21;3
j3010_5.sm;62;21;0
j3010_5.sm;70;15;1
j3010_5.sm;72;15;2
j3010_5.sm;73;15;3
j3010_5.sm;76;15;4
j3010_6.sm;44; Optimal; Time
j3010_6.sm;50;12;1
j3010_6.sm;50;12;2
j3010_6.sm;50;12;3
j3010_6.sm;50;12;4
j3010_6.sm;50;21;1
j3010_6.sm;52;11;2
j3010_6.sm;53;11;1
j3010_6.sm;54;0;0
j3010_6.sm;54;0;1
j3010_6.sm;54;0;2
j3010_6.sm;54;9;4
j3010_6.sm;54;10;4
j3010_6.sm;54;11;0
j3010_6.sm;54;11;3
j3010_6.sm;54;21;2
j3010_6.sm;54;21;3
j3010_6.sm;54;21;4
j3010_6.sm;56;3;4
j3010_6.sm;56;9;2
j3010_6.sm;56;10;2
j3010_6.sm;56;15;0
j3010_6.sm;57;9;0
j3010_6.sm;57;9;1
j3010_6.sm;57;10;0
j3010_6.sm;57;10;1
j3010_6.sm;58;9;3
j3010_6.sm;58;10;3
j3010_6.sm;59;12;0
j3010_6.sm;59;21;0
j3010_6.sm;60;3;3
j3010_6.sm;60;11;4
j3010_6.sm;61;3;2
j3010_6.sm;62;2;0
j3010_6.sm;64;3;1
j3010_6.sm;64;16;0
j3010_6.sm;65;2;1
j3010_6.sm;65;2;2
j3010_6.sm;65;2;3
j3010_6.sm;65;2;4
j3010_6.sm;65;3;0
j3010_6.sm;65;16;1
j3010_6.sm;65;16;2
j3010_6.sm;65;16;3
j3010_6.sm;65;16;4
j3010_6.sm;67;15;1
j3010_6.sm;68;15;2
j3010_6.sm;72;15;3
j3010_6.sm;76;15;4
j3010_7.sm;49; Optimal; Time
j3010_7.sm;55;2;4
j3010_7.sm;55;11;0
j3010_7.sm;55;11;1
j3010_7.sm;55;16;0
j3010_7.sm;55;16;1
j3010_7.sm;55;16;2
j3010_7.sm;55;16;3
j3010_7.sm;55;16;4
j3010_7.sm;58;3;4
j3010_7.sm;61;12;2
j3010_7.sm;61;21;2
j3010_7.sm;62;10;2
j3010_7.sm;62;10;3
j3010_7.sm;63;9;2
j3010_7.sm;63;11;2
j3010_7.sm;63;15;0
j3010_7.sm;64;2;1
j3010_7.sm;64;2;2
j3010_7.sm;64;2;3
j3010_7.sm;64;3;1
j3010_7.sm;64;3;2
j3010_7.sm;64;3;3
j3010_7.sm;64;10;0
j3010_7.sm;64;10;1
j3010_7.sm;67;2;0
j3010_7.sm;67;3;0
j3010_7.sm;67;12;0
j3010_7.sm;67;12;1
j3010_7.sm;67;15;2
j3010_7.sm;67;15;3
j3010_7.sm;67;21;0
j3010_7.sm;67;21;1
j3010_7.sm;68;12;3
j3010_7.sm;68;21;3
j3010_7.sm;70;10;4
j3010_7.sm;71;9;3
j3010_7.sm;71;9;4
j3010_7.sm;71;11;3
j3010_7.sm;71;11;4
j3010_7.sm;71;12;4
j3010_7.sm;71;15;1
j3010_7.sm;71;21;4
j3010_7.sm;72;0;0
j3010_7.sm;72;0;1
j3010_7.sm;72;0;2
j3010_7.sm;72;9;0
j3010_7.sm;72;9;1
j3010_7.sm;73;15;4
j3010_8.sm;54; Optimal; Time
j3010_8.sm;64;2;0
j3010_8.sm;64;16;0
j3010_8.sm;64;16;1
j3010_8.sm;64;16;2
j3010_8.sm;64;16;3
j3010_8.sm;64;16;4
j3010_8.sm;65;21;3
j3010_8.sm;66;21;4
j3010_8.sm;68;0;0
j3010_8.sm;68;0;1
j3010_8.sm;68;0;2
j3010_8.sm;68;2;4
j3010_8.sm;68;3;4
j3010_8.sm;69;12;0
j3010_8.sm;69;21;2
j3010_8.sm;70;12;1
